Product,Purchases,"Weight (g)","Average Delivery Time (Days)","Size (cm3)"
0226c9207aea0b16076a27ca65cb4929,2,600,38,2240
022b0ef3922883f810bdff4d58e93115,1,1625,6,15840
022ff42cced44a2b2cca57061cabb526,1,3900,5,36960
0233382eae30811d6dfffbbfb5de36d8,1,10750,5,34020
02335f37af17baf50a91273e4bdc8ef4,1,450,7,5104
0233dd6f06e23c705ab76dc3ab165837,4,100,12,5120
023473d9db1c319f2bcd010e043b2ba2,1,18050,21,20808
02357c69f595e004b50ba115b3f88d63,1,4000,14,27090
023a60ac6b3484afe23d788ce2444df0,1,14300,4,23625
0241aa4ed831b73fd4940ffd9cec20dc,1,8400,17,56672
025249b91a565601dc1b8f47ee7a230e,3,500,8,2704
0254a096e569c4a89b6870e9d4a65c3c,3,600,12,8400
025dd9fac2544d8e7e3451ec87bc6511,1,1100,10,38000
02623b0e4e6b951aefb23575de1f3886,1,1600,9,5000
0268130c8c3e3cac87b5ec4931348c73,1,1400,3,10000
0269bdfd3a4f3d384753cbadc1d742be,1,350,15,5236
026b77b15418f2a8114dfb0026739be4,6,378,11,4116
026d610705e01d905582241e68aefefe,1,500,2,12000
026ddfe4a1a29002815e6da024d6128e,1,550,7,1600
026f43af35e7951067097527d5c31bcc,2,10317,7,73788
027293c3b6d9e221268d9d6a5ffe5d0b,1,30000,17,200000
027325f946f1b3d8f94c3496e9a59a10,2,300,9,8000
027bb42a4ef22da4c7a80ecf9c60ba0c,5,300,10,1056
027cdd14a677a5834bc67a9789db5021,40,341,10,5760
027e1564c58eb02f39089b2b1f28d5e0,1,1400,14,8712
02834e5af210b8a2593eb81eecf40707,1,945,6,7728
02851253400fd18410f8eb4369cff9e1,3,3900,8,10260
0285a1295a18a4d37c11fa446d4c1345,1,200,15,560
0288532d075e4bf58e044c92e68c94cd,1,1000,11,352
028da1c319c010397ad1ea42db816d23,1,1200,14,16443
0290cc426311fb177fe19e513a7dc349,1,1000,14,8000
0294e314a033317e28ecc40aee9025e8,3,400,3,13125
02a0c276d5a252215b48269dea73a6e7,8,300,6,4500
02a56644dd5dbe6884a047f4d9ea52ea,1,4200,5,14664
02a60f0074f36110106a16d15267aad5,1,450,15,1408
02a93c4e95263ca545e9f46ca2b59833,1,1700,9,40625
02a97df83a8a100c7d2b14a02aea6a3d,5,400,14,6048
02a99f266fc960423c1186ecbd627804,1,300,10,5544
02ad328219e45e7d138101bc3c8aa6c6,1,1000,15,5120
02b7929be620a2f05bb13d0c0e2cbd48,2,1649,4,5796
02b824e9f1158bc1005e058c4ea78e8d,1,733,8,3248
02c575cb5b29a173624c93f01786440b,1,200,9,2058
02c9b70f3d2ddf38f1120e09d4f9cd45,1,133,6,1584
02ca56d6ca8d517a067869b6b6543ded,1,7300,11,48000
02ce0c74e59d6cf6bc9026601414a9c4,3,15900,2,144000
02d48451331287e2bf12560d032d57a6,3,150,13,2160
02d53241d2a3c4b1d65f21028e15fde8,2,400,22,2964
02d5d374678728b3af7bd59ee012abb4,1,100,30,1872
02d7f60ee640c8218aab6a668bbd2c56,1,150,17,2023
02db1469fdcd31a4fb670da6caec8bf6,1,700,3,1920
02dc711c164ca9c218d316491801ced9,1,3000,18,8349
02ed3b595447e948efc3eac897e4df0e,10,725,8,6727
02ee0862685e90b57cc241b7c9885f95,14,555,9,2880
02f331648b37d96cbaf60e96f9c0cd92,1,2350,6,10648
02f381f455650d4c7b90c96dc50a6206,1,175,9,3840
02f3b0fb0ec2472bd4b9058a860ce6e3,1,12050,20,52500
02f8dd9b448d3ec2c73e65a22da1121c,5,250,9,2754
02fb2d61da1247bf732360ea76b16240,7,850,10,32946
02fbee632a2044d48ab16d57eec4db58,7,1017,17,19890
02fcaaaba3a4b4882987a3639d968572,1,950,9,5832
0302c3fcf5e2d9526e243db50d30d5e3,5,200,5,8250
030729544fc3eb6a40981f877e836450,1,150,13,1056
03078714f1e3f3758555f67ff35b4b01,4,600,6,4096
030f129f7f4681d3996e2531840057af,2,800,22,3125
0312536dd9e1c1b732d2b8ff5c3181d6,1,600,34,6125
03137dc3af3dc8138e070c4536407618,2,625,17,9000
0320a1be5c5224f64bfbffa583cf03d6,7,167,19,528
032c32a02f67b0fad495803ca810689e,1,800,10,6912
032e8352e7d34cc2558d4ae22132866c,1,4450,6,36225
033e5e4f49acb5621c782ac8a37aa90b,1,175,6,2560
0347f9daa0a33f82b4c9c0821450cc8a,2,9075,13,50895
034ecce08e1adf75b5fecf2faac7ed11,2,550,8,4096
03511a5e5d4c3d8ef00f1578e1419800,5,400,14,2860
0354c6a8cb8961e29b70e564b93861fe,8,400,11,9500
0356344ba89a9deb1e8a6bef7a7c78b5,1,350,8,8000
035df2b15f358d231e00af9e62488cf4,1,783,12,3570
03613e666b3919a3e807eac45a8f2731,1,5400,11,15660
03624ffc0958f7ea385b6d4e088532b0,2,153,7,12144
0367635ea4efa4eb15a29f1e05887851,1,1150,6,26180
036bcd084feae22f3a997f5080ec30df,2,200,10,352
036ecb2f1816e95d3fa658207266ecf5,1,150,6,1352
037aab5faf8d9120659b7c8ea3cf4c12,1,15500,9,88000
037c68f178aefdd7a880a951dedc04d1,1,9567,10,98277
03826ede2cac52b3011b58cfd58c84f9,3,6900,9,34650
0383c4d17410e421f6a8b905fb9adcbc,2,2700,5,9675
038467f26869173dd87434ae02199a40,1,500,6,7560
0388b93e2992639ef7de7b35b2ba91b2,1,2100,6,880
